file,method,metric,margin_mean,gradient_mean,margin_points,gradient_points
FgNwZuMFQwY_0_s0_f2_0209.npz,Euclidean,euclidean,0.6128896176815033,0.8496311604976654,2,2
FgNwZuMFQwY_0_s0_f3_0210.npz,Euclidean,euclidean,0.48404060304164886,0.8587144911289215,2,2
FgNwZuMFQwY_0_s1_f0_0211.npz,Euclidean,euclidean,0.35312695801258087,0.9160235325495402,3,3
FgNwZuMFQwY_0_s1_f1_0212.npz,Euclidean,euclidean,0.03425652161240578,3.840212106704712,1,1
FgNwZuMFQwY_0_s1_f2_0213.npz,Euclidean,euclidean,0.43882040679454803,1.0131097733974457,2,2
FgNwZuMFQwY_0_s1_f3_0214.npz,Euclidean,euclidean,0.4438490072886149,0.7178772489229838,3,3
FgNwZuMFQwY_0_s1_f4_0215.npz,Euclidean,euclidean,0.5316210389137268,0.9732502400875092,2,2
FgNwZuMFQwY_0_s2_f0_0216.npz,Euclidean,euclidean,0.3892741173505783,0.47528606057167055,5,5
FgNwZuMFQwY_0_s2_f1_0217.npz,Euclidean,euclidean,0.45389047265052795,0.3994149327278137,5,5
FgNwZuMFQwY_0_s2_f2_0218.npz,Euclidean,euclidean,0.3780410920556348,0.18859989310686404,13,13
FgNwZuMFQwY_0_s2_f3_0219.npz,Euclidean,euclidean,0.29576651041861624,0.3538369443267584,8,8
FgNwZuMFQwY_0_s2_f4_0220.npz,Euclidean,euclidean,0.38339548632502557,0.2409028008580208,10,10
FgNwZuMFQwY_1_s0_f1_0221.npz,Euclidean,euclidean,0.37305083870887756,0.4517696127295494,4,4
FgNwZuMFQwY_1_s0_f2_0222.npz,Euclidean,euclidean,0.45422495901584625,0.8656693994998932,2,2
FgNwZuMFQwY_1_s0_f3_0223.npz,Euclidean,euclidean,0.30993346869945526,0.9475601464509964,2,2
FgNwZuMFQwY_1_s1_f0_0224.npz,Euclidean,euclidean,0.6410946249961853,1.6615328788757324,1,1
FgNwZuMFQwY_1_s1_f1_0225.npz,Euclidean,euclidean,0.47684990614652634,0.4066593050956726,4,4
FgNwZuMFQwY_1_s1_f2_0226.npz,Euclidean,euclidean,0.37221021950244904,0.9785165786743164,2,2
FgNwZuMFQwY_1_s1_f3_0227.npz,Euclidean,euclidean,0.17663104832172394,0.9230698943138123,1,1
